N,EGT,WF,Status
90.2608,1373.64,6188.46,0
90.2185,1369.29,6188.46,0
90.2354,1370.18,6176.92,0
90.2439,1371.92,6192.31,0
90.1931,1368.48,6184.62,0
90.2439,1369.3,6184.62,0
90.21,1371.47,6192.31,0
90.1931,1368.02,6180.77,0
90.1846,1373.45,6176.92,0
90.1846,1367.43,6184.62,0
90.1677,1369.12,6173.08,0
90.2185,1369.99,6176.92,0
90.21,1368.41,6169.23,0
90.1592,1370.52,6180.77,0
90.1846,1369.67,6165.38,0
90.1846,1369.79,6169.23,0
90.1846,1369.23,6169.23,0
90.1592,1368.11,6165.38,0
90.0999,1372.37,6165.38,0
90.0999,1366.16,6161.54,0
90.0915,1372.63,6146.15,0
90.083,1367.88,6153.85,0
90.0915,1369.55,6165.38,0
90.083,1370.35,6157.69,0
90.0745,1368.21,6161.54,0
90.0491,1367.77,6153.85,0
90.0237,1368.88,6153.85,0
90.0661,1371.04,6161.54,0
90.0322,1368.69,6153.85,0
90.0237,1372.14,6157.69,0
90.0322,1367.14,6150.0,0
90.0152,1370.12,6153.85,0
90.0322,1366.4,6153.85,0
90.0237,1367.26,6161.54,0
90.0322,1369.03,6146.15,0
90.0322,1373.83,6157.69,0
90.0237,1371.87,6153.85,0
90.0237,1367.57,6157.69,0
90.0068,1370.42,6146.15,0
89.9814,1372.95,6150.0,0
89.9729,1371.74,6157.69,0
89.9814,1371.84,6142.31,0
89.9475,1368.58,6150.0,0
89.9898,1369.72,6138.46,0
89.9814,1366.33,6138.46,0
89.9475,1369.2,6150.0,0
89.9221,1368.27,6130.77,0
89.9221,1370.04,6134.62,0
89.9052,1372.12,6138.46,0
89.9221,1371.11,6126.92,0
89.8967,1369.03,6138.46,0
89.8543,1371.77,6138.46,0
89.8967,1373.75,6130.77,0
89.9052,1370.62,6134.62,0
89.8205,1368.93,6130.77,0
89.8628,1366.85,6130.77,0
89.8628,1369.73,6134.62,0
89.8628,1371.06,6146.15,0
89.9052,1369.93,6130.77,0
89.8289,1373.39,6134.62,0
89.8628,1366.97,6142.31,0
89.8374,1370.74,6130.77,0
89.8459,1368.76,6134.62,0
89.8205,1368.36,6138.46,0
89.8205,1371.53,6138.46,0
89.8543,1371.91,6142.31,0
89.8205,1370.55,6130.77,0
89.8035,1372.57,6146.15,0
89.8374,1370.48,6142.31,0
89.8205,1371.78,6142.31,0
89.7781,1370.59,6142.31,0
89.8035,1372.16,6150.0,0
89.8289,1372.56,6150.0,0
89.8289,1365.85,6150.0,0
89.8289,1369.79,6146.15,0
89.8628,1370.06,6150.0,0
89.8628,1367.26,6157.69,0
89.8035,1372.81,6150.0,0
89.8374,1371.65,6150.0,0
89.8543,1368.86,6150.0,0
89.8205,1372.56,6153.85,0
89.8205,1370.87,6146.15,0
89.8289,1369.6,6150.0,0
89.8035,1366.32,6150.0,0
89.8374,1366.17,6138.46,0
89.8289,1367.94,6150.0,0
89.8289,1373.25,6146.15,0
89.81200000000001,1366.56,6150.0,0
89.8374,1371.97,6150.0,0
89.8628,1368.0,6153.85,0
89.9052,1371.56,6176.92,0
89.9306,1369.12,6169.23,0
90.0068,1371.22,6180.77,0
90.0406,1368.38,6188.46,0
90.0491,1368.54,6188.46,0
90.083,1373.1,6203.85,0
90.1169,1370.98,6200.0,0
90.1338,1367.41,6203.85,0
90.1762,1371.49,6215.38,0
90.2016,1369.86,6223.08,0
90.227,1372.06,6215.38,0
90.21,1367.65,6219.23,0
90.2016,1372.32,6211.54,0
90.227,1368.85,6223.08,0
90.2608,1369.55,6223.08,0
90.2693,1372.46,6234.62,0
90.2608,1368.84,6219.23,0
90.2778,1371.48,6226.92,0
90.3286,1368.91,6238.46,0
90.3455,1370.22,6242.31,0
90.3625,1370.87,6242.31,0
90.3794,1369.94,6234.62,0
90.4217,1369.95,6250.0,0
90.4302,1372.8,6257.69,0
90.4556,1370.3,6246.15,0
90.4556,1371.05,6257.69,0
90.4895,1371.25,6265.38,0
90.4726,1370.49,6269.23,0
90.4556,1371.9,6253.85,0
90.5064,1368.39,6261.54,0
90.4726,1369.37,6257.69,0
90.4641,1369.39,6238.46,0
90.4472,1370.72,6250.0,0
90.4556,1372.49,6257.69,0
90.4726,1369.79,6257.69,0
90.48100000000001,1371.96,6265.38,0
90.5149,1371.71,6261.54,0
90.5149,1371.03,6273.08,0
90.5318,1370.31,6269.23,0
90.5827,1369.15,6269.23,0
90.5657,1370.27,6261.54,0
90.5742,1369.12,6273.08,0
90.5911,1370.99,6269.23,0
90.5403,1371.03,6261.54,0
90.5403,1372.97,6269.23,0
90.5657,1369.86,6257.69,0
90.5657,1369.94,6261.54,0
90.5234,1369.09,6265.38,0
90.5403,1367.58,6261.54,0
90.5403,1371.4,6265.38,0
90.5657,1370.41,6269.23,0
90.625,1372.03,6273.08,0
90.5827,1369.53,6265.38,0
90.5827,1369.55,6261.54,0
90.5657,1370.5,6265.38,0
90.625,1369.75,6284.62,0
90.5911,1369.11,6269.23,0
90.5996,1371.15,6273.08,0
90.6419,1370.62,6269.23,0
90.6081,1369.24,6265.38,0
90.6165,1368.52,6261.54,0
90.6419,1368.36,6273.08,0
90.6335,1370.44,6265.38,0
90.6081,1370.73,6273.08,0
90.6589,1371.85,6269.23,0
90.6335,1372.5,6269.23,0
90.625,1372.72,6273.08,0
90.5996,1371.65,6257.69,0
90.625,1372.09,6261.54,0
90.5911,1367.8,6273.08,0
90.5911,1368.68,6265.38,0
90.5996,1372.12,6269.23,0
90.5996,1368.55,6261.54,0
90.5996,1368.97,6261.54,0
90.5657,1369.95,6253.85,0
90.6081,1370.98,6257.69,0
90.5657,1370.09,6250.0,0
90.5573,1368.35,6265.38,0
90.5657,1369.19,6250.0,0
90.5318,1368.61,6246.15,0
90.5403,1370.21,6246.15,0
90.5827,1370.43,6246.15,0
90.5403,1370.54,6257.69,0
90.5403,1368.96,6246.15,0
90.5911,1371.45,6246.15,0
90.5911,1372.95,6253.85,0
90.5827,1367.73,6265.38,0
90.625,1368.54,6257.69,0
90.6165,1369.56,6257.69,0
90.625,1372.5,6273.08,0
90.6335,1369.89,6273.08,0
90.6673,1370.09,6273.08,0
90.6335,1370.87,6273.08,0
90.6589,1370.49,6276.92,0
90.6589,1369.36,6269.23,0
90.6673,1369.58,6273.08,0
90.6758,1370.18,6280.77,0
90.7182,1368.79,6280.77,0
90.6843,1369.13,6280.77,0
90.7266,1370.7,6273.08,0
90.6927,1372.38,6273.08,0
90.7266,1368.54,6273.08,0
90.75200000000001,1369.88,6284.62,0
90.7351,1371.11,6288.46,0
90.7605,1370.2,6288.46,0
90.7605,1368.19,6280.77,0
90.76899999999999,1368.62,6284.62,0
90.7859,1371.42,6288.46,0
90.7859,1370.55,6288.46,0
90.7774,1369.08,6307.69,0
90.7944,1372.45,6303.85,0
90.7944,1371.26,6303.85,0
90.7774,1370.13,6296.15,0
90.8028,1371.17,6303.85,0
90.7774,1370.75,6303.85,0
90.76899999999999,1371.97,6303.85,0
90.76899999999999,1367.96,6307.69,0
90.8113,1369.96,6300.0,0
90.7859,1368.35,6303.85,0
90.7774,1370.43,6307.69,0
90.7774,1370.86,6315.38,0
90.75200000000001,1368.15,6300.0,0
90.8028,1372.21,6311.54,0
90.8198,1369.28,6311.54,0
90.8198,1370.49,6315.38,0
90.8706,1369.34,6315.38,0
90.8621,1370.12,6319.23,0
90.8875,1368.81,6323.08,0
90.8706,1370.91,6323.08,0
90.9045,1367.49,6323.08,0
90.8875,1371.54,6334.62,0
90.8283,1371.0,6330.77,0
90.8706,1372.45,6326.92,0
90.8875,1371.33,6323.08,0
90.9383,1368.44,6323.08,0
90.9299,1370.84,6330.77,0
90.9976,1368.75,6334.62,0
91.0315,1371.08,6326.92,0
91.0484,1369.11,6315.38,0
91.1077,1368.43,6330.77,0
91.1162,1370.15,6323.08,0
91.1755,1370.06,6330.77,0
91.1924,1370.33,6319.23,0
91.167,1368.8,6315.38,0
91.2009,1368.66,6326.92,0
91.2009,1370.33,6319.23,0
91.2263,1370.46,6330.77,0
91.2263,1368.39,6315.38,0
91.2348,1370.69,6315.38,0
91.2432,1369.52,6319.23,0
91.2686,1370.29,6326.92,0
91.3279,1368.18,6326.92,0
91.3448,1368.09,6330.77,0
91.3364,1368.97,6334.62,0
91.3448,1371.08,6338.46,0
91.3787,1370.98,6342.31,0
91.3533,1369.84,6334.62,0
91.3787,1370.65,6342.31,0
91.4211,1368.79,6338.46,0
91.3957,1369.64,6346.15,0
91.3957,1368.95,6338.46,0
91.4041,1370.3,6338.46,0
91.4634,1369.59,6338.46,0
91.43799999999999,1369.33,6342.31,0
91.4634,1368.98,6350.0,0
91.25878152,1368.838,6229.177763000001,2
91.11333015,1370.016,6229.177763000001,2
90.95084586,1370.604,6232.9568,2
90.78839453,1370.7620000000002,6236.735837,2
90.57547538,1371.41,6225.408542,2
90.41289171,1369.5179999999998,6229.177763000001,2
90.20852215,1371.896,6232.9568,2
90.07098906,1370.384,6232.9568,2
89.89988951,1373.2620000000002,6240.505058,2
89.68738416,1371.37,6225.408542,2
89.56600622,1373.5179999999998,6232.9568,2
89.3700861,1373.496,6229.177763000001,2
89.2319238,1372.934,6251.832353,2
89.03602014,1372.5520000000001,6251.832353,2
88.85658586,1372.92,6248.0533159999995,2
88.70998848,1375.058,6255.611389,2
88.53048776,1375.296,6259.380611,2
88.39999482,1373.614,6255.611389,2
88.20412388,1374.172,6255.611389,2
87.9838188,1374.31,6248.0533159999995,2
87.80433474,1376.168,6255.611389,2
87.59241245,1376.236,6251.832353,2
87.42922847,1374.174,6244.284095,2
87.23357722,1374.5420000000001,6240.505058,2
87.0139323,1374.31,6251.832353,2
86.9816934,1377.04,6052.52088,2
86.9656215,1377.3,6052.52088,2
86.9414661,1376.1,6048.8652,2
86.957538,1375.17,6041.5348,2
86.957538,1377.41,6037.8791200000005,2
86.93338259999999,1377.96,6034.21392,2
86.9092272,1375.86,6041.5348,2
86.89315529999999,1376.32,6034.21392,2
86.89315529999999,1377.26,6030.55824,2
86.89315529999999,1376.62,6026.89304,2
86.86091640000001,1375.85,6030.55824,2
86.820594,1375.48,6015.90696,2
86.7884502,1377.68,6008.58608,2
86.820594,1375.62,6019.57216,2
86.7884502,1377.35,6015.90696,2
86.7562113,1376.42,6004.92088,2
86.7320559,1376.79,6001.2652,2
86.72397240000001,1375.84,6001.2652,2
86.69981700000001,1375.79,6008.58608,2
86.6756616,1375.84,6001.2652,2
86.6675781,1378.1,5993.9348,2
86.6434227,1376.08,5986.613920000001,2
86.61118379999999,1373.95,5975.62784,2
86.562873,1377.91,5960.98608,2
86.5709565,1376.06,5964.64176,2
86.5226457,1375.96,5960.98608,2
86.5065738,1374.56,5964.64176,2
86.5145622,1374.94,5960.98608,2
86.4743349,1377.68,5957.320879999999,2
86.4340125,1375.31,5953.6652,2
86.4823233,1375.92,5953.6652,2
86.4823233,1377.26,5953.6652,2
86.5065738,1375.99,5950.0,2
86.5226457,1376.73,5942.679120000001,2
86.5065738,1374.26,5939.01392,2
86.4984903,1375.31,5946.3348,2
86.4581679,1376.05,5939.01392,2
86.4904068,1377.26,5939.01392,2
86.42602409999999,1377.15,5931.69304,2
86.4179406,1375.9,5935.35824,2
86.44209599999999,1374.99,5935.35824,2
86.4179406,1377.88,5920.70696,2
86.3534628,1374.92,5909.72088,2
86.39378520000001,1374.64,5902.4,2
86.3534628,1374.47,5902.4,2
86.3696298,1373.93,5909.72088,2
86.33739090000002,1375.02,5902.4,2
86.305152,1376.55,5906.0652,2
86.28908009999999,1374.13,5898.7348,2
86.2407693,1375.1,5891.41392,2
86.37810502,1377.0220000000002,5895.960118,2
86.58001812,1375.204,5918.85759,2
86.70107873,1375.066,5930.746826,2
86.9110794,1375.4679999999998,5931.5613539999995,2
87.05626248,1374.44,5947.130592,2
87.21748744,1374.5720000000001,5955.29551,2
87.35423834,1374.954,5956.021411,2
87.53993076,1371.026,5979.029667,2
87.70095619,1373.9379999999999,5987.165018,2
87.87016508,1374.23,5987.817056,2
88.02290438,1372.342,5995.917805,2
88.21686377,1373.0339999999999,6003.994058,2
88.35288688,1375.006,6023.329645000001,2
88.5717155,1371.898,6038.935861999999,2
88.73247456,1373.76,6047.004704,2
88.90161528,1371.0320000000002,6062.625706,2
89.07062464,1372.244,6070.679763,2
89.23131593,1372.4660000000001,6063.545744,2
89.38354093,1370.838,6075.3463520000005,2
89.53556734,1368.81,6094.77304,2
89.71279387,1368.7320000000002,6102.768,2
89.85641915,1371.014,6114.576,2
90.008279,1369.9460000000001,6118.723529999999,2
90.16003928,1369.6779999999999,6138.191999999999,2
90.3371,1369.76,6150.0,2
90.3625,1371.54,6146.15,0
90.354,1366.44,6157.69,0
90.3794,1368.79,6142.31,0
90.354,1370.89,6138.46,0
90.3371,1368.29,6134.62,0
90.3625,1369.57,6146.15,0
90.3709,1370.71,6157.69,0
90.3879,1369.75,6157.69,0
90.3709,1371.62,6150.0,0
90.3794,1370.6,6150.0,0
90.3879,1372.53,6157.69,0
90.4217,1367.77,6161.54,0
90.4726,1369.19,6157.69,0
90.4641,1370.27,6176.92,0
90.48100000000001,1370.25,6169.23,0
90.5318,1371.2,6184.62,0
90.5234,1369.17,6169.23,0
90.5742,1369.43,6196.15,0
90.5573,1368.82,6188.46,0
90.5996,1370.49,6200.0,0
90.6335,1368.52,6196.15,0
90.6081,1369.46,6203.85,0
90.6843,1371.52,6203.85,0
90.6165,1370.76,6200.0,0
90.625,1369.7,6211.54,0
90.6673,1367.79,6203.85,0
90.6419,1371.54,6207.69,0
90.6843,1371.3,6215.38,0
90.6843,1367.99,6211.54,0
90.76899999999999,1370.14,6223.08,0
90.6927,1368.63,6226.92,0
90.7266,1372.54,6226.92,0
90.7012,1369.97,6207.69,0
90.6419,1369.7,6196.15,0
90.6335,1370.03,6192.31,0
90.5996,1372.62,6200.0,0
90.5996,1369.58,6200.0,0
90.5657,1369.06,6196.15,0
90.5488,1368.47,6200.0,0
90.5149,1369.44,6192.31,0
90.5318,1371.9,6200.0,0
90.5742,1369.68,6200.0,0
90.6165,1372.43,6203.85,0
90.625,1370.54,6215.38,0
90.6335,1368.86,6219.23,0
90.6843,1368.7,6215.38,0
90.6589,1371.86,6223.08,0
90.6419,1369.5,6219.23,0
90.5827,1369.8,6223.08,0
90.5742,1367.75,6230.77,0
90.6165,1371.06,6226.92,0
90.625,1369.32,6238.46,0
90.5911,1368.16,6226.92,0
90.6165,1369.88,6238.46,0
90.6335,1368.82,6242.31,0
90.6927,1367.97,6250.0,0
90.7774,1372.26,6269.23,0
90.8113,1369.93,6280.77,0
90.7944,1367.26,6269.23,0
90.7774,1368.39,6265.38,0
90.8113,1367.12,6257.69,0
90.75200000000001,1368.84,6269.23,0
90.7351,1369.22,6250.0,0
90.7012,1367.59,6250.0,0
90.6843,1367.71,6250.0,0
90.6758,1370.78,6242.31,0
90.7012,1369.3,6246.15,0
90.6927,1369.6,6246.15,0
90.6843,1371.57,6230.77,0
90.7266,1370.02,6257.69,0
90.7182,1372.43,6246.15,0
90.6843,1369.58,6253.85,0
90.7182,1368.22,6250.0,0
90.6927,1369.2,6246.15,0
90.6673,1369.28,6253.85,0
90.7182,1369.97,6253.85,0
90.7436,1369.36,6242.31,0
90.7097,1367.35,6238.46,0
90.7351,1371.02,6257.69,0
90.8113,1370.56,6253.85,0
90.8875,1369.44,6265.38,0
90.9553,1369.54,6261.54,0
90.9892,1370.29,6273.08,0
91.04,1370.37,6265.38,0
91.0569,1370.1,6269.23,0
91.0569,1371.85,6269.23,0
91.0654,1372.03,6273.08,0
91.0908,1370.55,6273.08,0
91.1416,1370.43,6269.23,0
91.1501,1372.36,6276.92,0
91.1839,1370.26,6273.08,0
91.1755,1369.12,6280.77,0
91.2094,1372.18,6276.92,0
91.2263,1370.4,6288.46,0
91.2771,1369.06,6280.77,0
91.294,1368.16,6292.31,0
91.3448,1370.27,6280.77,0
91.3618,1370.9,6284.62,0
91.3533,1370.35,6288.46,0
91.311,1369.63,6284.62,0
91.3364,1371.05,6284.62,0
91.2263,1370.38,6280.77,0
91.2602,1371.04,6292.31,0
91.2517,1371.95,6280.77,0
91.2348,1371.02,6284.62,0
91.2517,1370.15,6284.62,0
91.2602,1369.25,6273.08,0
91.2348,1368.28,6273.08,0
91.2771,1369.87,6276.92,0
91.3025,1368.75,6280.77,0
91.2686,1369.52,6280.77,0
91.294,1368.95,6284.62,0
91.3194,1369.03,6284.62,0
91.3618,1370.51,6280.77,0
91.3787,1370.37,6288.46,0
91.3533,1370.3,6280.77,0
91.3448,1370.46,6288.46,0
91.3618,1370.09,6284.62,0
91.4126,1369.09,6296.15,0
91.3957,1371.62,6288.46,0
91.4211,1368.95,6284.62,0
91.4211,1371.09,6288.46,0
91.4211,1371.33,6280.77,0
91.3957,1369.35,6292.31,0
91.4549,1369.14,6288.46,0
91.5227,1368.39,6284.62,0
91.5142,1369.02,6280.77,0
91.5142,1370.67,6288.46,0
91.5142,1369.21,6284.62,0
91.4973,1369.08,6288.46,0
91.5058,1371.14,6284.62,0
91.4888,1369.84,6280.77,0
91.5227,1369.56,6280.77,0
91.5227,1369.68,6300.0,0
91.4973,1368.27,6284.62,0
91.5481,1370.01,6292.31,0
91.5566,1370.21,6296.15,0
91.5227,1371.43,6292.31,0
91.5396,1370.67,6307.69,0
91.5481,1371.33,6311.54,0
91.5989,1368.87,6311.54,0
91.6159,1371.16,6311.54,0
91.6074,1369.7,6307.69,0
91.6159,1369.79,6315.38,0
91.6667,1370.68,6315.38,0
91.6328,1369.11,6326.92,0
91.6751,1371.41,6311.54,0
91.6582,1369.99,6326.92,0
91.6751,1369.6,6319.23,0
91.6413,1370.78,6323.08,0
91.6751,1369.42,6319.23,0
91.6328,1368.63,6323.08,0
91.6582,1369.24,6323.08,0
91.6582,1368.64,6311.54,0
91.6667,1369.08,6319.23,0
91.6667,1370.18,6319.23,0
91.6751,1371.28,6323.08,0
91.6667,1370.51,6323.08,0
91.6836,1370.72,6326.92,0
91.709,1370.07,6326.92,0
91.6836,1369.58,6326.92,0
91.7005,1369.6,6326.92,0
91.7005,1369.25,6326.92,0
91.7598,1371.4,6323.08,0
91.7683,1370.09,6338.46,0
91.7344,1370.09,6334.62,0
91.7683,1369.92,6346.15,0
91.8106,1370.27,6342.31,0
91.7768,1370.36,6346.15,0
91.8276,1368.72,6346.15,0
91.836,1369.39,6350.0,0
91.8191,1369.95,6353.85,0
91.8276,1370.17,6346.15,0
91.8615,1369.64,6353.85,0
91.853,1369.45,6353.85,0
91.8784,1369.81,6350.0,0
91.8699,1369.73,6350.0,0
91.9123,1369.1,6350.0,0
91.9123,1370.05,6357.69,0
91.8869,1368.87,6350.0,0
91.9377,1369.79,6361.54,0
91.8953,1370.32,6365.38,0
91.9292,1368.62,6353.85,0
